school_number_id,university,university_full,state,SD,region,division,uni_size,size_class,uni_type,department_umbrella,position,gender,number,collector,verified
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,biology,tt,female,1,NS,y
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,biology,tt,male,3,NS,y
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,biology,instructor,female,1,NS,y
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,biology,instructor,male,0,NS,y
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,chemistry,tt,female,1,NS,y
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,chemistry,tt,male,3,NS,y
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,chemistry,instructor,female,0,NS,y
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,chemistry,instructor,male,0,NS,y
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,math,tt,female,2,NS,y
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,math,tt,male,5,NS,y
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,math,instructor,female,0,NS,y
89,AdamsState,Adams State College,Colorado,n,west,mountain,3700,medium,PUI,math,instructor,male,0,NS,y
30,Adelphi ,Adelphi Univeristy,New York ,n,northeast,mid_atlantic,6000,medium,R2,biology,tt,male,7,SA,y
30,Adelphi ,Adelphi Univeristy,New York ,n,northeast,mid_atlantic,6000,medium,R2,biology,tt,female ,9,SA,y
30,Adelphi ,Adelphi Univeristy,New York ,n,northeast,mid_atlantic,6000,medium,R2,biology,instructor ,female ,1,SA,y
30,Adelphi ,Adelphi Univeristy,New York ,n,northeast,mid_atlantic,6000,medium,R2,biology,instructor ,male,2,SA,y
30,Adelphi ,Adelphi Univeristy,New York ,n,northeast,mid_atlantic,6000,medium,R2,math,tt,male,11,SA,y
30,Adelphi ,Adelphi Univeristy,New York ,n,northeast,mid_atlantic,6000,medium,R2,math,tt,female ,1,SA,y
30,Adelphi ,Adelphi Univeristy,New York ,n,northeast,mid_atlantic,6000,medium,R2,math,instructor ,male,0,SA,y
