x,y,prop_difference,probability,department
e_n_central,e_n_central,0,na,biology
e_n_central,e_s_central,0.06,95.30%,biology
e_n_central,mid_atlantic,0.21,>99.9%,biology
e_n_central,mountain,0.11,>99.9%,biology
e_n_central,new_england,0.18,>99.9%,biology
e_n_central,pacific,-0.06,4.00%,biology
e_n_central,s_atlantic,0.03,82.20%,biology
e_n_central,w_n_central,-0.01,37.40%,biology
e_n_central,w_s_central,0.05,93.80%,biology
e_s_central,e_n_central,-0.06,4.70%,biology
e_s_central,e_s_central,0,na,biology
e_s_central,mid_atlantic,0.15,>99.9%,biology
e_s_central,mountain,0.05,91.20%,biology
e_s_central,new_england,0.12,>99.9%,biology
e_s_central,pacific,-0.12,0.20%,biology
e_s_central,s_atlantic,-0.03,19.70%,biology
e_s_central,w_n_central,-0.07,3.00%,biology
e_s_central,w_s_central,-0.01,41.00%,biology
mid_atlantic,e_n_central,-0.21,<0.01%,biology
mid_atlantic,e_s_central,0.03,80.30%,biology
mid_atlantic,mid_atlantic,0,na,biology
mid_atlantic,mountain,-0.1,<0.01%,biology
mid_atlantic,new_england,-0.03,4.60%,biology
mid_atlantic,pacific,-0.27,<0.01%,biology
mid_atlantic,s_atlantic,-0.18,<0.01%,biology
mid_atlantic,w_n_central,-0.22,<0.01%,biology
mid_atlantic,w_s_central,-0.16,<0.01%,biology
mountain,e_n_central,-0.11,<0.01%,biology
mountain,e_s_central,-0.05,8.80%,biology
mountain,mid_atlantic,0.1,>99.9%,biology
mountain,mountain,0,na,biology
mountain,new_england,0.07,>99.9%,biology
mountain,pacific,-0.17,<0.01%,biology
mountain,s_atlantic,-0.08,0.50%,biology
mountain,w_n_central,-0.12,<0.01%,biology
mountain,w_s_central,-0.06,4.10%,biology
new_england,e_n_central,-0.18,<0.01%,biology
new_england,e_s_central,-0.12,<0.01%,biology
new_england,mid_atlantic,0.03,95.50%,biology
new_england,mountain,-0.07,0.03%,biology
new_england,new_england,0,na,biology
new_england,pacific,-0.24,<0.01%,biology
new_england,s_atlantic,-0.16,<0.01%,biology
new_england,w_n_central,-0.19,<0.01%,biology
new_england,w_s_central,-0.13,<0.01%,biology
pacific,e_n_central,0.06,96.00%,biology
pacific,e_s_central,0.12,99.80%,biology
pacific,mid_atlantic,0.27,>99.9%,biology
pacific,mountain,0.17,>99.9%,biology
pacific,new_england,0.24,>99.9%,biology
pacific,pacific,0,na,biology
pacific,s_atlantic,0.09,99.20%,biology
pacific,w_n_central,0.05,92.30%,biology
pacific,w_s_central,0.11,99.80%,biology
s_atlantic,e_n_central,-0.03,17.80%,biology
s_atlantic,e_s_central,0.03,80.30%,biology
s_atlantic,mid_atlantic,0.18,>99.9%,biology
s_atlantic,mountain,0.08,99.50%,biology
s_atlantic,new_england,0.16,>99.9%,biology
s_atlantic,pacific,-0.09,0.80%,biology
s_atlantic,s_atlantic,0,na,biology
s_atlantic,w_n_central,-0.04,12.00%,biology
s_atlantic,w_s_central,0.02,74.20%,biology
w_n_central,e_n_central,0.01,62.60%,biology
w_n_central,e_s_central,0.07,97.00%,biology
w_n_central,mid_atlantic,0.22,>99.9%,biology
w_n_central,mountain,0.12,>99.9%,biology
w_n_central,new_england,0.19,>99.9%,biology
w_n_central,pacific,-0.05,7.70%,biology
w_n_central,s_atlantic,0.04,88.10%,biology
w_n_central,w_n_central,0,na,biology
w_n_central,w_s_central,0.06,96.10%,biology
w_s_central,e_n_central,-0.05,6.20%,biology
w_s_central,e_s_central,0.01,59.00%,biology
w_s_central,mid_atlantic,0.16,>99.9%,biology
w_s_central,mountain,0.06,95.90%,biology
w_s_central,new_england,0.13,>99.9%,biology
w_s_central,pacific,-0.11,0.20%,biology
w_s_central,s_atlantic,-0.2,25.80%,biology
w_s_central,w_n_central,-0.06,3.90%,biology
w_s_central,w_s_central,0,na,biology
e_n_central,e_n_central,0,na,chemistry
e_n_central,e_s_central,0.09,97.60%,chemistry
e_n_central,mid_atlantic,0.04,79.60%,chemistry
e_n_central,mountain,0.06,93.70%,chemistry
e_n_central,new_england,0.05,86.90%,chemistry
e_n_central,pacific,0.07,97.00%,chemistry
e_n_central,s_atlantic,0.07,95.00%,chemistry
e_n_central,w_n_central,0.07,96.60%,chemistry
e_n_central,w_s_central,0.12,99.90%,chemistry
e_s_central,e_n_central,-0.09,2.40%,chemistry
e_s_central,e_s_central,0,na,chemistry
e_s_central,mid_atlantic,-0.05,14.30%,chemistry
e_s_central,mountain,-0.02,29.30%,chemistry
e_s_central,new_england,-0.04,21.40%,chemistry
e_s_central,pacific,-0.01,37.90%,chemistry
e_s_central,s_atlantic,-0.01,38.30%,chemistry
e_s_central,w_n_central,-0.01,39.40%,chemistry
e_s_central,w_s_central,0.04,81.10%,chemistry
